"Metric name","Metric description","GeForce RTX 3090(0)","GeForce RTX 3090(1)"
"dram__bytes","# of bytes accessed in DRAM","1","1"
"dram__bytes_read","# of bytes read from DRAM","1","1"
"dram__bytes_write","# of bytes written to DRAM","1","1"
"dram__cycles_active","# of cycles where DRAM was active","1","1"
"dram__cycles_active_read","# of cycles where DRAM was active for reads","1","1"
"dram__cycles_active_write","# of cycles where DRAM was active for writes","1","1"
"dram__cycles_elapsed","# of elapsed DRAM memory clock cycles","1","1"
"dram__cycles_in_frame","# of cycles in user-defined frame","1","1"
"dram__cycles_in_region","# of cycles in user-defined region","1","1"
"dram__sectors","# of sectors accessed in DRAM","1","1"
"dram__sectors_read","# of sectors read from DRAM","1","1"
"dram__sectors_write","# of sectors written to DRAM","1","1"
"dram__throughput","DRAM throughput","1","1"
"dramc__sectors","# of sectors accessed in DRAM","1","1"
"dramc__sectors_op_read","# of sectors read from DRAM","1","1"
"dramc__sectors_op_write","# of sectors written to DRAM","1","1"
"fbpa__cycles_active","# of cycles where FBPA","1","1"
"fbpa__cycles_elapsed","# of cycles elapsed on FBPA","1","1"
"fbpa__cycles_in_frame","# of cycles in user-defined frame","1","1"
"fbpa__cycles_in_region","# of cycles in user-defined region","1","1"
"fbpa__dram_cycles_elapsed","# of cycles elapsed on DRAM","1","1"
"fbpa__dram_read_bytes","# of DRAM read bytes","1","1"
"fbpa__dram_read_sectors","# of DRAM read sectors","1","1"
"fbpa__dram_read_throughput","FBPA read throughput","1","1"
"fbpa__dram_sectors","# of DRAM sectors accessed","1","1"
"fbpa__dram_write_bytes","# of DRAM write bytes","1","1"
"fbpa__dram_write_sectors","# of DRAM write sectors","1","1"
"fbpa__dram_write_throughput","FBPA write throughput","1","1"
"fbpa__throughput","FBPA throughput","1","1"
"fe__cycles_active","alias of fe__cycles_elapsed","1","1"
"fe__cycles_elapsed","alias of fe__cycles_elapsed","1","1"
"fe__cycles_in_frame","# of cycles in user-defined frame","1","1"
"fe__cycles_in_region","# of cycles in user-defined region","1","1"
"fe__output_ops_cmd_go_idle","# of GO_IDLE bundles sent to GR from FE","1","1"
"fe__output_ops_type_bundle_cmd_go_idle","# of GO_IDLE bundles sent to GR from FE","1","1"
"gpc__cycles_active","# of cycles where GPC was active","1","1"
"gpc__cycles_elapsed","# of cycles where GPC was active","1","1"
"gpc__cycles_in_frame","# of cycles in user-defined frame","1","1"
"gpc__cycles_in_region","# of cycles in user-defined region","1","1"
"gpu__compute_memory_access_throughput","Compute Memory Pipeline : throughput of internal activity within caches and DRAM","1","1"
"gpu__compute_memory_access_throughput_internal_activity","Compute Memory Pipeline : throughput of internal activity within caches and DRAM, internal activity","1","1"
"gpu__compute_memory_request_throughput","Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM","1","1"
"gpu__compute_memory_request_throughput_internal_activity","Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM, internal activity","1","1"
"gpu__compute_memory_throughput","Compute Memory Pipeline Throughput","1","1"
"gpu__cycles_active","# of cycles where GPU was active","1","1"
"gpu__cycles_elapsed","# of cycles elapsed on GPU","1","1"
"gpu__cycles_in_frame","# of cycles in user-defined frame","1","1"
"gpu__cycles_in_region","# of cycles in user-defined region","1","1"
"gpu__dispatch_count","# of compute dispatches sent to GPU","1","1"
"gpu__dram_throughput","GPU DRAM throughput","1","1"
"gpu__draw_count","# of draw calls sent to GPU","1","1"
"gpu__time_active","total duration in nanoseconds","1","1"
"gpu__time_duration","incremental duration in nanoseconds; isolated measurement is same as gpu__time_active","1","1"
"gpu__time_end","end timestamp, relative to start of frame","1","1"
"gpu__time_start","start timestamp, relative to start of frame","1","1"
"gr__cycles_active","# of cycles where GPU was active","1","1"
"gr__cycles_elapsed","# of cycles elapsed on GR","1","1"
"gr__cycles_idle","# of cycles where GR was idle","1","1"
"gr__cycles_in_frame","# of cycles in user-defined frame","1","1"
"gr__cycles_in_region","# of cycles in user-defined region","1","1"
"idc__cycles_active","# of cycles where IDC was active","1","1"
"idc__cycles_elapsed","# of cycles elapsed on IDC","1","1"
"idc__cycles_in_frame","# of cycles in user-defined frame","1","1"
"idc__cycles_in_region","# of cycles in user-defined region","1","1"
"idc__request_cycles_active","# of cycles where IDC processed requests from SM","1","1"
"idc__request_hit_rate","proportion of IDC requests that hit","1","1"
"idc__requests","# of IDC requests","1","1"
"idc__requests_lookup_hit","# of IDC requests that hit","1","1"
"idc__requests_lookup_miss","# of IDC requests that missed","1","1"
"l1tex__average_t_sectors_per_request","average # of sectors requested per request sent to T stage","1","1"
"l1tex__average_t_sectors_per_request_pipe_lsu","average # of sectors requested per request sent to T stage for LSU pipe local/global","1","1"
"l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_atom","average # of sectors requested per request sent to T stage for global atomics","1","1"
"l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld","average # of sectors requested per request sent to T stage for global loads","1","1"
"l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_red","average # of sectors requested per request sent to T stage for global reductions","1","1"
"l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_st","average # of sectors requested per request sent to T stage for global stores","1","1"
"l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_ld","average # of sectors requested per request sent to T stage for local loads","1","1"
"l1tex__average_t_sectors_per_request_pipe_lsu_mem_local_op_st","average # of sectors requested per request sent to T stage for local stores","1","1"
"l1tex__average_t_sectors_per_request_pipe_tex","average # of sectors requested per request sent to T stage for TEX pipe","1","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_surface","average # of sectors requested per request sent to T stage for surface","1","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_atom","average # of sectors requested per request sent to T stage for surface atomics","1","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_ld","average # of sectors requested per request sent to T stage for surface loads","1","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_red","average # of sectors requested per request sent to T stage for surface reductions","1","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_surface_op_st","average # of sectors requested per request sent to T stage for surface stores","1","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_texture","average # of sectors requested per request sent to T stage for texture","1","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_texture_op_ld","average # of sectors requested per request sent to T stage for TLD instructions","1","1"
"l1tex__average_t_sectors_per_request_pipe_tex_mem_texture_op_tex","average # of sectors requested per request sent to T stage for TEX instructions","1","1"
"l1tex__cycles_active","# of cycles where L1TEX was active","1","1"
"l1tex__cycles_elapsed","# of cycles elapsed on L1TEX","1","1"
"l1tex__cycles_in_frame","# of cycles in user-defined frame","1","1"
"l1tex__cycles_in_region","# of cycles in user-defined region","1","1"
"l1tex__data_bank_conflicts_pipe_lsu","# of data bank conflicts generated by LSU pipe","1","1"
"l1tex__data_bank_conflicts_pipe_lsu_cmd_read","# of data bank conflicts generated by LSU reads","1","1"
"l1tex__data_bank_conflicts_pipe_lsu_cmd_write","# of data bank conflicts generated by LSU writes","1","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_global","# of data bank conflicts generated by global ops","1","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_atom","# of data bank conflicts generated by global atomics","1","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_ld","# of data bank conflicts generated by global loads","1","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_red","# of data bank conflicts generated by global reductions","1","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_st","# of data bank conflicts generated by global stores","1","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_shared","# of data bank conflicts generated by shared ops","1","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_atom","# of data bank conflicts generated by shared atomics","1","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld","# of data bank conflicts generated by shared loads","1","1"
"l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st","# of data bank conflicts generated by shared stores","1","1"
"l1tex__data_bank_reads","# of data bank reads","1","1"
"l1tex__data_bank_writes","# of data bank writes","1","1"
"l1tex__data_pipe_lsu_wavefronts","# of local/global/shared + surface write wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_lsu_wavefronts_cmd_read","# of local/global/shared read wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_lsu_wavefronts_cmd_write","# of local/global/shared/surface write wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_lsu_wavefronts_mem_lg","# of local/global wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_lsu_wavefronts_mem_lg_cmd_read","# of local/global read wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_lsu_wavefronts_mem_lg_cmd_write","# of local/global write wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_lsu_wavefronts_mem_shared","# of shared memory wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_lsu_wavefronts_mem_shared_cmd_read","# of shared read wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_lsu_wavefronts_mem_shared_cmd_write","# of shared write wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom","# of ATOMS wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ipa","# of IPA wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld","# of LDS wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st","# of STS wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_lsu_wavefronts_mem_surface","# of surface write wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_tex_wavefronts","# of texture + surface read wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_tex_wavefronts_mem_surface","# of surface read wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_tex_wavefronts_mem_texture","# of texture wavefronts processed by Data-Stage","1","1"
"l1tex__data_pipe_tex_wavefronts_realtime","# of texture + surface wavefronts processed by Data-Stage","1","1"
